number_of_open_complaints,number_of_policies,customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,total_claim_amount
0,1,2393.915369,0.0,70.0,24.0,10.0,425.266308
1,3,4762.8179,65795.0,62.0,2.0,85.0,49.011099
0,1,4330.38602,60475.0,107.0,9.0,18.0,513.6
0,4,9402.729769,0.0,130.0,28.0,88.0,936.0
0,9,6966.694527,41837.0,88.0,29.0,93.0,142.062768
0,2,7694.064293,32303.0,65.0,13.0,34.0,45.152521
1,3,8717.561149,0.0,117.0,5.0,89.0,561.6
0,9,5928.748528,40531.0,74.0,17.0,32.0,30.567357
1,1,2452.977288,79898.0,62.0,5.0,86.0,271.606799
0,7,6701.571657,56398.0,85.0,4.0,18.0,408.0
1,8,7556.24034,35257.0,98.0,16.0,2.0,470.4
0,7,8492.6988,27804.0,109.0,19.0,54.0,784.8
2,2,7713.494046,45506.0,66.0,16.0,32.0,316.8
0,2,24084.5352,65196.0,67.0,0.0,54.0,396.082036
1,3,7290.069769,0.0,102.0,11.0,70.0,489.6
0,1,4772.943848,20993.0,133.0,35.0,90.0,638.4
0,9,6806.491395,37839.0,86.0,35.0,77.0,465.633954
0,1,2469.781334,92711.0,62.0,24.0,10.0,368.400146
2,1,3103.923041,74665.0,78.0,10.0,90.0,236.902001
0,1,2981.875575,0.0,83.0,26.0,89.0,582.679087
0,9,8902.737595,46833.0,112.0,6.0,3.0,64.109663
0,7,5499.447223,88768.0,68.0,17.0,77.0,326.4
0,1,2509.107875,33555.0,63.0,17.0,11.0,101.89645
1,2,31221.7481,42780.0,113.0,10.0,27.0,542.4
0,1,3133.503432,58850.0,78.0,20.0,26.0,143.747794
0,1,3837.451863,21880.0,97.0,29.0,37.0,424.077159
0,2,11790.49617,25251.0,66.0,13.0,43.0,316.8
0,2,7838.068321,0.0,69.0,9.0,12.0,2.704934
0,1,4305.808345,24188.0,109.0,14.0,82.0,523.2
0,8,5973.976904,41611.0,74.0,14.0,8.0,113.801497
1,4,5670.442396,28406.0,72.0,16.0,35.0,192.87572
0,1,4731.749346,69833.0,118.0,32.0,99.0,828.662719
0,2,8026.379641,0.0,74.0,15.0,91.0,532.8
0,1,4022.963529,0.0,117.0,6.0,1.0,975.107098
0,3,9618.310865,80536.0,119.0,5.0,83.0,53.798708
0,1,2274.775451,0.0,63.0,2.0,5.0,606.642452
0,2,9552.926922,97732.0,79.0,0.0,70.0,289.9122
0,2,10388.55323,61222.0,89.0,20.0,55.0,392.604371
0,1,2470.121222,0.0,74.0,7.0,20.0,721.242206
0,1,5619.068508,50335.0,140.0,9.0,54.0,456.52385
0,6,9047.119209,0.0,127.0,30.0,11.0,1087.995426
0,1,6692.143668,63221.0,168.0,28.0,49.0,806.4
0,1,3731.504584,0.0,96.0,31.0,34.0,460.8
0,1,3660.770258,64495.0,92.0,34.0,30.0,251.992083
0,2,7928.829252,0.0,72.0,7.0,75.0,345.6
3,4,5011.751577,28859.0,67.0,24.0,51.0,321.6
0,3,7988.258292,77330.0,99.0,0.0,21.0,99.257608
0,1,3885.456401,0.0,105.0,3.0,92.0,504.0
0,1,2659.337982,24495.0,70.0,29.0,65.0,336.0
0,9,8564.768226,95697.0,107.0,29.0,29.0,178.006524
0,1,4885.162511,26372.0,126.0,11.0,7.0,604.8
0,3,9753.307106,17514.0,127.0,2.0,5.0,8.312729
0,1,2946.153697,89270.0,74.0,17.0,90.0,316.599228
0,1,2581.110945,29757.0,65.0,13.0,55.0,312.0
0,1,3517.385764,51814.0,92.0,28.0,89.0,56.300724
0,2,9743.350113,24028.0,82.0,14.0,27.0,393.6
0,1,3873.647046,28142.0,105.0,18.0,50.0,701.708239
1,2,7649.28199,52705.0,64.0,14.0,8.0,128.705563
0,1,2287.59692,0.0,63.0,1.0,5.0,679.368378
0,1,4475.424592,84903.0,111.0,7.0,63.0,497.126827
0,4,8714.922135,0.0,118.0,14.0,64.0,566.4
1,1,2248.449633,24910.0,63.0,7.0,63.0,347.857619
2,2,7416.197322,0.0,77.0,15.0,12.0,554.4
0,2,7771.158973,21876.0,68.0,12.0,28.0,465.41477
1,2,6968.3419,0.0,69.0,33.0,61.0,496.8
1,7,4250.282624,0.0,61.0,17.0,1.0,292.8
0,2,19776.56654,70699.0,82.0,1.0,57.0,256.813837
1,2,21343.46599,0.0,74.0,11.0,85.0,355.2
0,1,2413.139714,27501.0,63.0,20.0,0.0,542.319401
0,2,15363.84716,15897.0,101.0,30.0,99.0,303.148399
1,2,8456.961887,25141.0,73.0,12.0,4.0,25.438063
3,1,2189.642522,0.0,61.0,5.0,46.0,292.8
0,8,5780.182197,51066.0,74.0,23.0,0.0,787.993313
0,1,4639.981638,28358.0,117.0,24.0,37.0,84.024413
0,1,4465.335703,61846.0,112.0,1.0,48.0,215.8182
0,8,5968.118877,90972.0,74.0,3.0,47.0,232.926145
0,7,5097.763337,0.0,74.0,3.0,95.0,532.8
0,1,4076.634665,29549.0,104.0,17.0,51.0,710.433775
1,2,12252.60179,0.0,115.0,12.0,17.0,552.0
0,3,4892.435461,21709.0,62.0,28.0,17.0,408.374746
0,2,9942.304791,67890.0,85.0,23.0,57.0,408.0
0,1,3735.838129,0.0,110.0,3.0,16.0,792.0
4,2,13117.52215,84311.0,111.0,11.0,98.0,532.8
0,1,4574.524094,99316.0,114.0,26.0,53.0,754.358929
0,1,5470.060561,54507.0,138.0,20.0,11.0,702.990032
0,1,2978.84601,64586.0,76.0,3.0,17.0,206.837111
2,7,6410.967544,61709.0,82.0,5.0,41.0,275.395894
1,1,4479.023088,94656.0,111.0,12.0,79.0,459.738128
0,1,2383.731879,0.0,69.0,5.0,40.0,496.8
1,1,2764.493659,61085.0,70.0,27.0,34.0,336.0
3,2,7920.105377,89284.0,67.0,7.0,31.0,321.6
0,2,6889.097981,0.0,63.0,6.0,12.0,302.4
0,1,3274.194616,31686.0,81.0,11.0,33.0,430.994107
2,1,2521.555686,53703.0,67.0,3.0,45.0,67.632476
1,2,23706.11337,0.0,96.0,12.0,35.0,844.481918
1,4,6047.02516,20396.0,76.0,15.0,60.0,364.8
0,3,11140.30248,27679.0,150.0,30.0,28.0,722.486994
3,1,4334.064096,23904.0,123.0,1.0,67.0,590.4
0,1,2799.74791,65351.0,69.0,4.0,54.0,481.027516
0,7,7923.136624,0.0,113.0,20.0,1.0,1124.427734
3,7,3688.110888,0.0,63.0,0.0,54.0,669.682001
0,2,12067.45599,0.0,116.0,14.0,35.0,1284.093173
0,1,2924.976721,64459.0,72.0,16.0,64.0,240.259479
0,3,9277.233839,71416.0,116.0,10.0,0.0,556.8
0,3,6274.123875,68964.0,78.0,15.0,6.0,115.086827
0,1,3886.647414,78108.0,98.0,12.0,34.0,470.4
0,5,4386.277558,10621.0,67.0,28.0,22.0,321.6
0,2,11365.26766,84910.0,95.0,4.0,69.0,383.167471
0,3,5610.96434,77493.0,70.0,2.0,35.0,307.963291
0,1,2912.892035,81097.0,74.0,7.0,67.0,355.2
0,3,6915.729915,96610.0,85.0,6.0,23.0,520.364752
0,1,6262.663307,30110.0,159.0,20.0,71.0,466.436375
0,6,6503.397049,22081.0,84.0,1.0,9.0,451.670309
0,3,8007.399376,0.0,112.0,12.0,93.0,537.6
0,1,2929.916512,98473.0,72.0,19.0,69.0,345.6
0,3,5969.55297,97431.0,74.0,1.0,72.0,355.2
0,8,5473.15987,93870.0,69.0,1.0,96.0,331.2
0,9,5645.396665,50366.0,72.0,9.0,5.0,428.734656
0,7,6369.262355,34498.0,83.0,30.0,72.0,398.4
0,2,11833.76732,16552.0,103.0,23.0,53.0,494.4
0,5,6121.107929,26787.0,77.0,7.0,50.0,369.6
0,9,5159.369746,0.0,74.0,2.0,42.0,831.752839
0,1,2514.59196,43860.0,65.0,15.0,58.0,156.124914
2,9,8668.611261,21474.0,114.0,13.0,72.0,373.428187
0,9,4960.965384,18174.0,66.0,8.0,16.0,395.934815
0,5,5504.139033,0.0,73.0,18.0,45.0,350.4
0,2,7507.455372,60920.0,64.0,10.0,61.0,231.201886
0,2,32269.85139,41520.0,90.0,18.0,70.0,289.904105
0,1,5657.031588,0.0,152.0,12.0,89.0,729.6
0,8,5061.757902,0.0,68.0,19.0,16.0,326.4
0,8,5912.783829,72208.0,73.0,3.0,84.0,350.4
0,2,15182.27975,53863.0,63.0,12.0,30.0,105.765111
0,3,10747.03094,66446.0,136.0,8.0,77.0,639.464548
0,1,2050.623512,0.0,61.0,18.0,26.0,292.8
1,1,2465.444865,64997.0,63.0,7.0,99.0,383.442328
0,3,5343.121327,64460.0,66.0,18.0,42.0,316.8
0,2,8119.829071,46618.0,67.0,22.0,77.0,99.085943
0,4,4605.265164,0.0,64.0,13.0,64.0,307.2
5,5,6408.785577,49988.0,84.0,6.0,37.0,566.935022
5,1,2376.533508,0.0,91.0,2.0,8.0,436.8
0,1,3211.070017,16269.0,86.0,6.0,84.0,412.8
0,3,5094.522262,72006.0,64.0,4.0,38.0,307.2
2,2,25755.27817,0.0,81.0,3.0,60.0,388.8
0,2,8044.73072,44320.0,67.0,13.0,79.0,321.6
0,1,4001.519098,19782.0,108.0,13.0,66.0,773.470977
0,2,16706.11699,63933.0,70.0,35.0,98.0,424.883448
0,8,8544.411077,28224.0,109.0,13.0,13.0,523.2
1,3,7805.31287,21073.0,106.0,25.0,54.0,508.8
0,3,6112.756868,63243.0,77.0,21.0,73.0,364.240307
0,1,4772.943848,20993.0,133.0,35.0,90.0,638.4
0,4,10979.09559,94827.0,135.0,5.0,64.0,354.729129
1,4,5004.263818,39161.0,63.0,18.0,83.0,283.995953
2,2,13223.04379,37534.0,84.0,2.0,0.0,403.2
0,1,2623.31543,80210.0,65.0,30.0,28.0,20.543176
0,2,17840.19555,0.0,62.0,32.0,59.0,385.115437
0,5,5106.111827,30110.0,64.0,2.0,4.0,140.165035
0,2,17930.60451,21708.0,68.0,28.0,77.0,326.4
0,4,5457.342569,94731.0,67.0,23.0,65.0,321.6
0,6,6563.644143,32375.0,83.0,17.0,83.0,398.4
0,4,4812.525221,16531.0,63.0,0.0,40.0,102.879769
0,2,29328.04185,32006.0,94.0,28.0,7.0,56.868289
0,8,5773.520711,81676.0,72.0,21.0,86.0,463.158502
0,3,6847.1189,71038.0,86.0,15.0,56.0,205.444066
0,1,3595.31286,0.0,103.0,20.0,43.0,741.6
0,2,22855.61209,20832.0,65.0,8.0,32.0,56.371967
0,7,7859.414569,0.0,113.0,19.0,10.0,813.6
0,1,4115.577437,52405.0,103.0,2.0,27.0,494.4
0,1,5029.638777,0.0,133.0,3.0,89.0,795.864079
4,1,4821.418454,26583.0,128.0,6.0,46.0,614.4
0,3,5004.310469,25486.0,65.0,15.0,53.0,72.438681
0,5,8630.053943,24065.0,111.0,30.0,1.0,532.8
0,4,9322.08512,70435.0,116.0,0.0,50.0,67.881546
2,2,16727.56063,0.0,76.0,33.0,36.0,402.636829
0,1,3652.532435,39679.0,92.0,2.0,85.0,641.388616
0,5,6158.601171,0.0,89.0,13.0,45.0,342.481173
4,3,4376.083958,0.0,69.0,21.0,70.0,331.2
1,6,5569.456156,53565.0,71.0,27.0,34.0,340.8
1,1,2576.513006,37574.0,66.0,19.0,14.0,412.101933
0,3,8346.983233,48259.0,108.0,14.0,79.0,73.700573
0,3,6323.923864,78532.0,78.0,25.0,87.0,374.4
0,3,5973.14343,96163.0,73.0,23.0,90.0,350.4
0,7,4706.676993,0.0,72.0,0.0,86.0,345.6
1,5,8093.410258,0.0,114.0,9.0,72.0,722.024742
0,5,5035.744643,72672.0,63.0,7.0,39.0,259.361117
1,8,9027.867218,99002.0,112.0,33.0,75.0,537.6
0,3,7288.884849,79494.0,91.0,19.0,30.0,396.295614
0,3,4992.063043,0.0,71.0,6.0,5.0,653.388564
0,6,9102.267849,26049.0,118.0,17.0,6.0,121.032372
0,1,2540.407726,70125.0,64.0,21.0,77.0,92.813396
1,2,12941.89193,52369.0,110.0,34.0,49.0,528.0
2,1,2365.348601,0.0,66.0,25.0,51.0,159.636956
0,9,5720.765064,41770.0,72.0,0.0,60.0,476.156957
0,8,7035.534088,0.0,101.0,16.0,88.0,727.2
0,1,2636.97773,31911.0,67.0,33.0,27.0,321.6
0,8,5395.831967,70051.0,68.0,15.0,69.0,42.078345
1,9,8382.630118,19683.0,117.0,17.0,41.0,561.6
0,2,31161.74523,30916.0,112.0,7.0,65.0,200.11606
0,1,2887.742258,0.0,80.0,24.0,95.0,676.944023
0,4,8714.922135,0.0,118.0,14.0,64.0,566.4
0,2,25585.72783,0.0,116.0,0.0,45.0,830.623064
0,3,10272.6082,60145.0,132.0,8.0,28.0,580.473259
0,1,4376.363592,63774.0,111.0,18.0,63.0,60.036683
0,6,5318.89664,25134.0,67.0,3.0,0.0,321.6
1,6,4719.762191,37057.0,61.0,5.0,48.0,47.53101
0,1,4428.031583,58577.0,110.0,6.0,62.0,303.872752
0,6,5879.176092,85857.0,73.0,3.0,19.0,100.620067
0,3,9416.908485,70602.0,116.0,8.0,47.0,481.339891
2,3,8288.155579,33816.0,106.0,10.0,97.0,508.8
0,2,32654.8383,0.0,153.0,7.0,75.0,1101.6
4,1,4719.450052,89642.0,121.0,11.0,20.0,86.320022
0,1,3903.474784,60068.0,98.0,17.0,75.0,470.4
0,1,5457.259678,50044.0,139.0,16.0,14.0,667.2
1,1,2725.356404,36650.0,69.0,2.0,70.0,56.60333
0,1,4433.97368,50653.0,110.0,29.0,42.0,262.865172
0,7,5332.462694,68931.0,66.0,32.0,30.0,309.577946
1,1,2315.094985,0.0,73.0,14.0,39.0,350.4
0,5,5411.953687,0.0,73.0,1.0,22.0,365.364581
0,2,9587.33234,39266.0,80.0,33.0,31.0,384.0
0,2,22103.5072,0.0,102.0,35.0,48.0,489.6
1,2,9764.945308,0.0,98.0,24.0,11.0,705.6
0,1,2567.151468,40864.0,65.0,2.0,75.0,9.51528
0,1,2650.622781,39035.0,68.0,15.0,65.0,244.564334
0,2,11264.36334,34923.0,98.0,23.0,82.0,639.105556
0,1,2168.523464,0.0,63.0,1.0,56.0,453.6
0,9,8610.667489,0.0,111.0,27.0,36.0,532.8
0,1,2834.646235,24506.0,71.0,7.0,47.0,511.2
0,2,8930.139728,0.0,82.0,25.0,63.0,554.522969
1,5,5536.386959,52220.0,70.0,17.0,42.0,336.0
0,1,2840.85429,0.0,74.0,17.0,73.0,402.449823
0,2,8082.880956,53554.0,67.0,6.0,5.0,327.020539
1,3,5254.734278,34476.0,67.0,23.0,49.0,5.3953
0,5,5116.237577,0.0,70.0,1.0,11.0,131.401291
0,1,3034.646997,68205.0,76.0,35.0,14.0,99.382943
1,8,8024.89992,0.0,119.0,6.0,48.0,856.8
0,2,18211.14319,53690.0,154.0,20.0,97.0,739.2
0,5,5121.563312,0.0,72.0,2.0,22.0,518.4
0,1,2150.178588,0.0,61.0,28.0,31.0,292.8
0,3,5595.389905,74454.0,71.0,25.0,29.0,340.8
0,2,7562.824036,0.0,73.0,23.0,91.0,350.4
0,3,5385.853211,29664.0,71.0,1.0,69.0,340.8
0,8,4718.558501,15680.0,64.0,20.0,29.0,260.879903
3,2,9422.567923,47272.0,79.0,17.0,17.0,64.546877
0,1,3605.860265,21585.0,92.0,35.0,61.0,441.6
2,3,7762.590564,23827.0,106.0,18.0,77.0,37.910623
2,2,23444.90045,69906.0,74.0,34.0,32.0,202.860399
0,1,2558.178159,0.0,72.0,7.0,77.0,345.6
0,3,5123.170887,89879.0,63.0,17.0,20.0,94.030308
0,1,2537.744494,0.0,69.0,9.0,89.0,331.2
0,1,2969.593296,46131.0,74.0,27.0,28.0,355.2
3,1,4363.124641,54514.0,109.0,5.0,36.0,286.234931
0,1,5884.308607,0.0,161.0,29.0,1.0,1159.2
0,3,5272.191556,96668.0,66.0,2.0,95.0,316.8
1,4,5509.895664,78879.0,69.0,9.0,67.0,466.570791
0,2,16313.68349,0.0,69.0,21.0,86.0,331.2
0,3,5678.050167,0.0,76.0,8.0,44.0,364.8
0,2,12101.20884,0.0,112.0,28.0,30.0,1252.406235
0,1,2453.570794,29735.0,69.0,3.0,92.0,331.2
0,7,5075.66267,23082.0,65.0,18.0,90.0,312.0
0,1,3214.979402,53984.0,80.0,15.0,62.0,421.484456
0,9,12275.34309,52135.0,156.0,6.0,86.0,430.505942
0,1,2722.210707,17576.0,71.0,29.0,70.0,398.502948
0,1,2457.440923,29486.0,62.0,19.0,73.0,7.646763
0,1,3554.845264,58557.0,88.0,4.0,83.0,55.510526
0,7,4929.549699,25632.0,63.0,27.0,52.0,351.270869
0,9,8036.45034,0.0,112.0,7.0,42.0,806.4
3,3,4276.915328,18768.0,68.0,19.0,53.0,647.454583
0,2,33473.34946,33190.0,106.0,18.0,95.0,508.8
0,3,5960.581363,47945.0,74.0,32.0,39.0,128.43823
0,2,44795.46942,58778.0,126.0,6.0,62.0,302.033971
0,1,3832.118106,15192.0,100.0,1.0,7.0,480.0
0,3,5285.26816,23422.0,72.0,25.0,76.0,518.4
0,1,3096.511217,21604.0,79.0,14.0,28.0,379.2
0,1,3589.710715,79298.0,90.0,22.0,2.0,244.362072
0,1,2582.408525,76731.0,64.0,2.0,68.0,201.455005
0,1,2487.729726,67282.0,62.0,29.0,27.0,297.6
1,2,13575.67599,48534.0,115.0,29.0,79.0,552.0
0,1,4685.504251,77678.0,116.0,32.0,81.0,741.418485
0,2,28685.82785,48412.0,104.0,15.0,23.0,707.430832
4,1,2764.032126,33837.0,72.0,29.0,54.0,305.575785
0,3,6183.111464,23712.0,85.0,2.0,20.0,376.126419
0,1,3873.647046,28142.0,105.0,18.0,50.0,701.708239
0,2,18929.3306,72196.0,68.0,8.0,61.0,152.184244
0,3,5553.295758,68197.0,69.0,1.0,81.0,176.819414
0,5,5011.259184,75248.0,63.0,13.0,71.0,104.454624
0,2,10442.44633,0.0,98.0,9.0,50.0,941.718054
1,1,2199.61781,0.0,65.0,5.0,19.0,468.0
0,3,8709.845263,41546.0,111.0,4.0,47.0,121.306839
0,6,7484.310483,46998.0,96.0,13.0,98.0,460.8
0,1,2613.023132,57099.0,67.0,20.0,37.0,67.859881
0,8,9080.639651,33897.0,114.0,15.0,67.0,539.843003
0,2,13770.97618,59207.0,116.0,23.0,21.0,556.8
0,1,2876.822941,40171.0,73.0,8.0,78.0,350.4
0,9,5548.031892,67798.0,69.0,1.0,78.0,331.2
0,1,5097.526248,21665.0,136.0,0.0,25.0,765.709629
0,2,24143.87556,0.0,87.0,9.0,75.0,626.4
5,7,3538.059456,0.0,67.0,12.0,67.0,321.6
1,2,19834.20115,65989.0,123.0,4.0,43.0,115.545086
0,3,4731.366975,30686.0,61.0,22.0,45.0,19.938981
0,2,35537.846,0.0,113.0,15.0,6.0,799.926741
0,2,34611.37896,20090.0,109.0,10.0,59.0,523.2
0,6,5904.088162,97413.0,73.0,21.0,80.0,268.819985
0,4,5595.835041,79189.0,69.0,6.0,97.0,331.2
0,1,2294.303629,0.0,62.0,5.0,31.0,297.6
0,6,6273.911874,18577.0,86.0,21.0,76.0,412.8
1,1,3726.727996,0.0,112.0,7.0,34.0,806.4
1,9,5285.118669,40783.0,67.0,13.0,43.0,321.6
0,4,5110.680779,0.0,74.0,34.0,51.0,532.8
0,1,4601.634099,84394.0,114.0,9.0,38.0,691.412378
0,3,9155.239699,0.0,127.0,3.0,93.0,804.811859
1,2,14808.05624,41440.0,62.0,20.0,80.0,297.6
1,8,8901.678357,0.0,136.0,14.0,69.0,1090.86434
0,3,5734.598243,98132.0,71.0,10.0,61.0,50.587035
0,1,4177.696973,0.0,112.0,4.0,49.0,537.6
0,3,10364.34749,58327.0,129.0,31.0,5.0,347.075948
0,2,7851.901368,25950.0,66.0,27.0,1.0,271.697529
0,1,4772.943848,20993.0,133.0,35.0,90.0,638.4
3,3,4031.104947,0.0,63.0,35.0,59.0,639.45899
0,1,2794.907476,39783.0,72.0,28.0,43.0,345.6
0,1,4362.931238,58842.0,110.0,6.0,74.0,528.0
2,6,9624.524417,25629.0,124.0,3.0,70.0,595.2
0,1,5015.009472,48567.0,130.0,12.0,15.0,624.0
1,1,2896.918767,33746.0,74.0,1.0,6.0,355.2
0,2,21903.91364,22254.0,79.0,22.0,75.0,125.194389
0,3,9028.821403,65974.0,113.0,3.0,43.0,235.220971
0,3,5303.759534,0.0,76.0,18.0,63.0,395.34111
1,1,4165.354461,17161.0,113.0,1.0,22.0,542.4
0,7,5123.768112,0.0,74.0,1.0,62.0,772.798511
0,6,9492.342964,0.0,132.0,9.0,85.0,633.6
0,2,8204.863191,0.0,73.0,9.0,14.0,350.4
4,9,9877.295699,67752.0,131.0,4.0,40.0,168.517149
0,6,4815.009736,25398.0,64.0,30.0,80.0,307.2
0,4,6277.011679,0.0,88.0,30.0,19.0,633.6
0,3,8260.639809,33321.0,105.0,6.0,2.0,504.0
0,1,2549.450038,0.0,78.0,13.0,32.0,845.654042
0,1,4502.679656,68798.0,114.0,19.0,69.0,92.915251
0,1,3803.921781,20325.0,100.0,4.0,6.0,668.29397
0,6,8635.4035,13129.0,117.0,15.0,93.0,700.901632
0,4,5510.558964,0.0,73.0,24.0,57.0,525.6
0,1,3585.884123,49080.0,91.0,14.0,68.0,25.299
0,6,4889.25278,42536.0,63.0,30.0,57.0,375.330097
0,1,2756.941661,29926.0,74.0,25.0,34.0,418.233667
0,1,3289.547398,0.0,86.0,5.0,55.0,398.240791
0,4,10937.1785,21450.0,138.0,15.0,35.0,938.513425
0,2,7375.567916,33345.0,65.0,32.0,52.0,338.619869
